Company,Job Title,,Location,First Stage,Second Stage,Third Stage,Fourth Stage,References Handed,Date Applied,Notes,Updated At,Status
RealPage,Marketing Planning & Performance Analyst,,Richardson,,,,,,7/16/2020,,07/28/2020,Rejected
Nerdwallet,Data Analyst (Marketing),,Remote,,,,,,7/16/2020,,07/17/2020,Rejected
Evernote,"Data Scientist, Analytics",,Remote,,,,,,7/16/2020,,,Rejected
Qlarant,Data Analyst - Healthcare Fraud,,Dallas,,,,,,7/16/2020,,,Rejected
Nerdwallet,Mobile Product Analyst,,Remote,,,,,,7/13/2020,,7/22/2020,Rejected
Biden for President,Fundraising Associate Analyst,,Remote,,,,,,7/12/2020,,,Rejected
Typeform,,,Remote,,,,,,7/10/2020,,,Rejected
RealPage,Data Analyst - Contract Renewals,,Richardson,Recruiter Screen,Hiring Manager Interview,,,,7/10/2020,,08/03/2020,Rejected
ADT Careers,NA Data Reporting Analyst,,Irving,,,,,,7/9/2020,,07/13/2020,
Alight,Digital – Hyper-personalization Tableau Developer,,Remote,,,,,,7/9/2020,,,Rejected
7-Eleven,Fuel Pricing Analyst,,Irving,Recruiter Screen,,,,,7/2/2020,,,Rejected
Braintree,Data Analyst,,Chicago,,,,,,6/26/2020,,,Rejected
Mary Kay,Analyst Inventory Control I Analytics,,Lewisville,,,,,,6/26/2020,,07/30/2020,Rejected
Charles Schwab,Junior Data Scientist,,Westlake,,,,,,6/23/2020,,,
PopSocket,Business Intelligence Analyst,,Boulder,,,,,,6/22/2020,,07/16/2020,Rejected
Signify Health,Senior Data Analyst,,Dallas,,,,,,6/20/2020,,,Rejected
Lockheed Martin,Performance Data Analyst Associate,,Ft. Worth,,,,,,6/20/2020,,07/17/2020,Rejected
Brinks Home Security,Revenue Analyst,,Carollton,,,,,,6/17/2020,,07/23/2020,Rejected
iRobot,Data Scientist,,Boston,,,,,,6/17/2020,,06/25/2020,Rejected
Dallas County,Data Analyst,,Dallas,,,,,,6/17/2020,,,Rejected
Frontier,"Analyst, Marketing",,Irving,,,,,,6/12/2020,,7/22/2020,Rejected
Two Sigma,Data Analyst,,Houston,Recruiter Screen,,,,,6/10/2020,,,Rejected
Kraken,Data Analyst,,Remote,,,,,,6/10/2020,,,Rejected
Mosaic Sales Solutio,Data Analyst,,Irving,Recruiter Screen,,,,,6/9/2020,,06/18/2020,Rejected
Kibo,Sales Operations Analyst,,Dallas,,,,,,6/5/2020,,06/11/2020,Rejected
Sally Beauty,CRM Analyst,,Denton,Recruiter Screen,Interview  with Hiring Manager,Interview with Director,,,6/5/2020,,,Rejected
